name_english,id
Tae Goo Lyeon,1181
Bloody Eater,1182
Brave Assaulter's Katzbalger,1183
Valorous Assaulter's Katzbalger,1184
Violet Fear,1185
Death Guidance,1186
Glorious Claymore,1187
Veteran Sword,1188
Krasnaya,1189
Knife,1201
Cutter,1204
Main Gauche,1207
Dirk,1210
Dagger,1213
Stiletto,1216
Gladius,1219
Damascus,1222
Fortune Sword,1223
Swordbreaker,1224
Mailbreaker,1225
Weeder Knife,1227
Combat Knife,1228
Kitchen Knife,1229
Ice Pick,1230
Bazerald,1231
Assassin Dagger,1232
Exorciser,1233
Moonlight Dagger,1234
Azoth,1235
Sucsamad,1236
Grimtooth,1237
Zeny Knife,1238
Poison Knife,1239
Princess Knife,1240
Cursed Dagger,1241
Dagger of Counter,1242
Novice Main-Gauche,1243
Holy Dagger,1244
Cinquedea,1245
Kindle Dagger,1247
Obsidian Dagger,1248
Fisherman's Dagger,1249
Jur,1250
Katar,1252
Jamadhar,1254
Katar of Frozen Icicle,1256
Katar of Quaking,1257
Katar of Raging Blaze,1258
Katar of Piercing Wind,1259
Sharpened Legbone of Ghoul,1260
Infiltrator,1261
Loki's Nail,1262
Unholy Touch,1263
Specialty Jur,1264
Bloody Roar,1265
Wild Beast Claw,1268
Inverse Scale,1269
Drill Katar,1270
Blood Tears,1271
Scratcher,1272
Refined Bloody Roar,1273
Refined Unholy Touch,1274
Brave Carnage Katar,1279
Valorous Carnage Katar,1280
Glorious Bloody Roar,1281
Glorious Jamadhar,1282
Katar Of Speed,1283
Krishna,1284
Chakram,1285
Axe,1301
Orcish Axe,1304
Cleaver,1305
War Axe,1306
Windhawk,1307
Golden Axe,1308
Glorious Cleaver,1310
Vecer Axe,1311
Tourist Axe,1313
Tomahawk,1314
Light Epsilon,1315
Battle Axe,1351
Hammer,1354
Buster,1357
Two-Handed Axe,1360
Bloody Axe,1363
Great Axe,1364
Sabbath,1365
Slaughter,1367
Guillotine,1369
Doom Slayer,1370
Refined Bloody Axe,1373
Berdysz,1375
Heart Breaker,1376
Hurricane's Fury,1377
Refined Great Axe,1378
Valorous Insane Battle Axe,1379
Brave Insane Battle Axe,1380
Novice Battle Axe,1381
Glorious Two-Handed Axe,1382
Celestial Axe,1383
Veteran Axe,1384
Bradium Stone Hammer,1385
Giant Axe,1387
Javelin,1401
Spear,1404
Pike,1407
Lance,1410
Gungnir,1413
Gelerdria,1414
Brocca,1415
Tjungkuletti,1416
Pole Axe,1417
Long Horn,1420
Battle Hook,1421
Hunting Spear,1422
Pole XO,1423
Refined Brocca,1424
Assaulter Spear,1425
Glorious Spear,1426
Spear Of Excellent,1427
Guisarme,1451
Glaive,1454
Partizan,1457
Trident,1460
Halberd,1463
Crescent Scythe,1466
Bill Guisarme,1467
Zephyrus,1468
Longinus's Spear,1469
Brionac,1470
Hellfire,1471
Soul Staff,1472
Wizardry Staff,1473
Gae Bolg,1474
Equestrian's Spear,1475
Spectral Spear,1477
Ahlspiess,1478
Assaulter Lance,1482
Ivory Lance,1483
Cardo,1484
Battle Fork,1485
Glorious Lance,1486
Club,1501
Mace,1504
Smasher,1507
Flail,1510
Morning Star,1513
Sword Mace,1516
Chain,1519
Stunner,1522
Spike,1523
Golden Mace,1524
Long Mace,1525
Slash,1526
Quadrille,1527
Grand Cross,1528
Iron Driver,1529
Mjolnir,1530
Wrench,1531
Warrior's Balmung,1533
Hollgrehenn's Hammer,1535
Good Morning Star,1536
Refined Quadrille,1537
Nemesis,1541
Valorous Battlefield Morning Star,1542
Brave Battlefield Morning Star,1543
Lunakaligo,1544
Novice Mace,1545
Glorious Morning Star,1546
Mace Of Madness,1547
Veteran Hammer,1548
Pile Bunker,1549
Book,1550
Bible,1551
Tablet,1552
Book of Billows,1553
Book of Mother Earth,1554
Book of the Blazing Sun,1555
Book of Gust of Wind,1556
Book of the Apocalypse,1557
Girl's Diary,1558
Legacy of Dragon,1559
Sage's Diary,1560
Hardcover Book,1561
Battlefield Textbook,1562
Encyclopedia,1564
Ledger of Death,1565
Diary Of Great Basil,1566
Refined Hardcover Book,1567
Book of Blazing Sun,1570
Principles of Magic,1572
Ancient Magic,1573
Brave Battle Strategy Book,1574
Valorous Battle Strategy Book,1575
Glorious Tablet,1576
Glorious Apocalypse,1577
Book Of Prayer,1578
Book of the Dead,1579
Giant Encyclopedia,1580
Diary Of Great Sage,1581
Angra Manyu,1599
Rod,1601
Wand,1604
Staff,1607
Arc Wand,1610
Mighty Staff,1613
Wand of Occult,1614
Evil Bone Wand,1615
Wing Staff,1616
Survivor's Rod,1617
Hypnotist's Staff,1621
Lich's Bone Wand,1624
Healing Staff,1625
Piercing Staff,1626
Staffy,1627
Refined Survivor's Rod,1628
Gentleman's Staff,1629
Release of Wish,1630
Holy Stick,1631
Warlock's Magic Wand,1632
Warlock's Battle Wand,1633
Strong Recovery Wand,1634
Speedy Recovery Wand,1635
Thorn Staff of Darkness,1636
Eraser,1637
Staff Of Healing,1638
Novice Rod,1639
Glorious Arc Wand,1640
Glorious Cure Wand,1641
Staff Of Darkness,1642
Dead Tree Cane,1643
Staff of Piercing,1644
La'cryma Stick,1646
Croce Staff,1647
Staff Of Bordeaux,1648
Bow,1701
Composite Bow,1704
Great Bow,1707
Crossbow,1710
Arbalest,1713
Gakkung Bow,1714
Hunter Bow,1718
Roguemaster's Bow,1719
Rudra Bow,1720
Repeating Crossbow,1721
Ballista,1722
Luna Bow,1723
Dragon Wing,1724
Minstrel Bow,1725
Burning Bow,1730
Frozen Bow,1731
Earth Bow,1732
Gust Bow,1733
Orc Archer Bow,1734
Kkakkung,1735
Double Bound,1736
Ixion Wings,1737
Valorous Battle CrossBow,1738
Brave Battle CrossBow,1739
Nepenthes Bow,1740
Cursed Lyre,1741
Novice Composite Bow,1742
Glorious Hunter Bow,1743
Bow Of Evil,1744
Falken Blitz,1745
Arrow,1750
Silver Arrow,1751
Fire Arrow,1752
Steel Arrow,1753
Crystal Arrow,1754
Arrow of Wind,1755
Stone Arrow,1756
Immaterial Arrow,1757
Stun Arrow,1758
Frozen Arrow,1759
Flash Arrow,1760
Cursed Arrow,1761
Rusty Arrow,1762
Poison Arrow,1763
Sharp Arrow,1764
Oridecon Arrow,1765
Arrow of Counter Evil,1766
Arrow of Shadow,1767
Sleep Arrow,1768
Mute Arrow,1769
Iron Arrow,1770
Venom Knife,1771
Holy Arrow,1772
Waghnak,1801
Knuckle Dusters,1803
Studded Knuckles,1805
Fist,1807
Claw,1809
Finger,1811
Kaiser Knuckle,1813
Berserk,1814
Hatii Claw,1815
Magma Fist,1818
Icicle Fist,1819
Electric Fist,1820
Seismic Fist,1821
Combo Battle Glove,1822
Valorous Battle Fist,1823
Brave Battle Fist,1824
Horn of Hillslion,1825
Glorious Claw,1826
Glorious Fist,1827
Monk Knuckle,1828
Violin,1901
Mandolin,1903
Lute,1905
Guitar,1907
Harp,1909
Gumoongoh,1911
Electric Guitar,1913
Burning Passion Guitar,1914
Loner's Guitar,1915
Green Acre Guitar,1916
Gentle Breeze Guitar,1917
Oriental Lute,1918
Bass Guitar,1919
Berserk Guitar,1920
Gun Moon Gom,1921
Valorous Battlefield Guitar,1923
Brave Battlefield Guitar,1924
Cello,1925
Harp of Nepenthes,1926
Glorious Guitar,1927
Spirited Guitar,1928
Rope,1950
Whip,1952
Wire Whip,1954
Rante Whip,1956
Tail Whip,1958
Lariat Whip,1962
Rapture Rose,1963
Chemeti Whip,1964
Red Flame Whip,1965
Icicle Whip,1966
Gaia Whip,1967
Skipping Rope,1968
Blade Whip,1969
Queen's Whip,1970
Electric Wire,1971
Electric Eel,1972
Sea Witch's Foot,1973
Carrot Whip,1974
Queen Is Whip,1975
Valorous Battle Lariat,1977
Brave Battle Lariat,1978
Stem of Nepenthes,1979
Whip of Balance,1980
Glorious Lariat,1981
Phenomena Whip,1982
Staff of Destruction,2000
Divine Cross,2001
Glorious Destruction Staff,2002
Kronos,2004
Dea Staff,2005
Staff Of Light,2006
Guard,2101
Buckler,2103
Shield,2105
Mirror Shield,2107
Memory Book,2109
Holy Guard,2110
Sacred Mission,2111
Novice Guard,2112
Novice Shield,2113
Stone Buckler,2114
Valkyrja's Shield,2115
Angelic Guard,2116
Arm Guard,2117
Advanced Arm Guard,2119
Platinum Shield,2122
Orleans's Server,2123
Thorny Buckler,2124
Strong Shield,2125
Guyak Shield,2126
Secular Mission,2127
Exorcism Bible,2129
Cross Shield,2130
Magic Bible Vol1,2131
Shell Of Resistance,2132
Tournament Shield,2133
Shield of Naga,2134
Shadow Guard,2135
Cracked Buckler,2136
Neo Valkyrja's Shield,2137
Bradium Shield,2138
Flame Thrower,2139
Ahura Mazdah,2199
Sunglasses,2201
Glasses,2203
Diver Goggles,2205
Wedding Veil,2206
Fancy Flower,2207
Ribbon,2208
Hair Band,2210
Bandana,2211
Eye Patch,2212
Kitty Band,2213
Bunny Band,2214
Flower Band,2215
Biretta,2216
Flu Mask,2218
Hat,2220
Turban,2222
Goggles,2224
Cap,2226
Helm,2228
Gemmed Sallet,2230
Circlet,2232
Tiara,2234
Crown,2235
Santa Hat,2236
Bandit Beard,2237
Monocle,2239
Beard,2240
Grampa Beard,2241
Purple Glasses,2242
Geek Glasses,2243
Big Ribbon,2244
Sweet Gent,2245
Golden Gear,2246
Romantic Gent,2247
Western Grace,2248
Coronet,2249
Cute Ribbon,2250
Monk Hat,2251
Wizard Hat,2252
Sunflower,2253
Angel Wing,2254
Evil Wing,2255
Majestic Goat,2256
Unicorn Horn,2257
Spiky Band,2258
Mini Propeller,2259
Mini Glasses,2260
Army Cap,2261
Clown Nose,2262
Zorro Masque,2263
Munak Hat,2264
Gangster Mask,2265
Iron Cain,2266
Cigarette,2267
Pipe,2268
Romantic Flower,2269
Romantic Leaf,2270
Jack be Dandy,2271
Stop Post,2272
Doctor Band,2273
Ghost Bandana,2274
Red Bandana,2275
Angled Glasses,2276
Nurse Cap,2277
Mr. Smile,2278
Bomb Wick,2279
Sakkat,2280
Opera Masque,2281
Halo,2282
Ear Muffs,2283
Antlers,2284
Apple of Archer,2285
Elven Ears,2286
Pirate Bandana,2287
Mr. Scream,2288
Poo Poo Hat,2289
Funeral Hat,2290
Masquerade,2291
Welding Mask,2292
Pretend Murdered,2293
Stellar,2294
Blinker,2295
Binoculars,2296
Goblin Mask,2297
Green Feeler,2298
Orc Helm,2299
Cotton Shirt,2301
Jacket,2303
Adventurer's Suit,2305
Mantle,2307
Coat,2309
Mink Coat,2311
Padded Armor,2312
Chain Mail,2314
Full Plate,2316
Lord's Clothes,2318
Glittering Jacket,2319
Formal Suit,2320
Silk Robe,2321
Scapulare,2323
Saint's Robe,2325
Holy Robe,2327
Wooden Mail,2328
Tights,2330
Silver Robe,2332
Mage Coat,2334
Thief Clothes,2335
Ninja Suit,2337
Wedding Dress,2338
Pantie,2339
Novice Breastplate,2340
Legion Plate Armor,2341
Robe of Cast,2343
Lucius's Fierce Armor of Volcano,2344
Saphien's Armor of Ocean,2346
Aebecee's Raging Typhoon Armor,2348
Claytos Cracking Earth Armor,2350
Tattered Novice Ninja Suit,2352
Odin's Blessing,2353
Goibne's Armor,2354
Angelic Protection,2355
Blessed Holy Robe,2356
Valkyrian Armor,2357
Angel's Dress,2358
Meteo Plate Armor,2364
Orleans's Gown,2365
Divine Cloth,2366
Sniping Suit,2367
Golden Armor,2368
Freyja Overcoat,2369
Used Mage Coat,2370
Diabolus Robe,2374
Diabolus Armor,2375
Assaulter Plate,2376
Elite Engineer Armor,2377
Assassin Robe,2378
Warlock's Battle Robe,2379
Medic's Robe,2380
Elite Archer Suit,2381
Elite Shooter Suit,2382
Brynhild,2383
Spiritual Tunic,2384
Recuperative Armor,2385
Chameleon Armor,2386
Sprint Mail,2387
Kandura,2388
Armor of Naga,2389
Improved Tights,2390
Life Link,2391
Old Green Pantie,2392
Novice Adventurer's Suit,2393
Glorious Suit,2394
Glorious Popularized Suit,2395
Glorious Mass-Production Suit,2396
Incredible Event Resignation Coat,2397
Dragon Vest,2399
Sandals,2401
Shoes,2403
Boots,2405
Crystal Pumps,2407
Shackles,2408
High Heels,2409
Sleipnir,2410
Greaves,2411
Safety Boots,2413
Novice Slippers,2414
Bunny Slipper,2415
Novice Shoes,2416
Fricco's Shoes,2417
Vidar's Boots,2418
Goibne's Greaves,2419
Angel's Reincarnation,2420
Valkyrian Shoes,2421
High Fashion Sandals,2422
Variant Shoes,2423
Tidal Shoes,2424
Black Leather Boots,2425
Shadow Walk,2426
Golden Shoes,2427
Freyja Boots,2428
Iron Boots,2429
Valley Shoes,2431
Diabolus Boots,2433
Battle Greaves,2435
Combat Boots,2436
Battle Boots,2437
Paw Of Cat,2438
Refresh Shoes,2439
Sprint Shoes,2440
Beach Sandals,2441
Red Stocking Boots,2442
Fisher's Boots,2443
Glorious Shoes,2444
Glorious Popularized Shoes,2445
Glorious Mass-Production Shoes,2446
Army Boots,2447
Air Boss,2448
Vital Tree Shoes,2450
Hood,2501
Muffler,2503
Manteau,2505
Ancient Cape,2507
Ragamuffin Manteau,2508
Survivor's Manteau,2509
Somber Novice Hood,2510
Skeleton Manteau,2511
Novice Manteau,2512
Heavenly Maiden Robe,2513
Pauldron,2514
Eagle Wing,2515
Falcon Muffler,2516
Vali's Manteau,2517
Morpheus's Shawl,2518
Morrigane's Manteau,2519
Goibne's Spaulders,2520
Angelic Cardigan,2521
Undershirt,2522
Valkyrian Manteau,2524
Coat of Dragon Scale,2526
Dragon Breath,2527
Wool Scarf,2528
Rider Insignia,2529
Ulfhedinn,2531
Mithril Magic Cape,2532
Freyja Cape,2533
Ruffler,2534
Cloak Of Survival,2535
Skin of Ventus,2536
Diabolus Manteau,2537
Captain's Manteau,2538
Commander's Manteau,2539
Sheriff's Manteau,2540
Asprika,2541
Flame Manteau of Naght Sieger,2542
Sylphid Manteau,2543
Leather of Tendrilion,2544
Musika,2545
Beach Manteau,2546
Cheap Undershirt,2547
Neo Muffler,2548
Glorious Muffler,2549
Fisher's Muffler,2550
Crest of the Rider,2551
Mithril Magic Manteau,2552
Dragon Manteau,2553
Nydhorgg's Shadow Garb,2554
Ring,2601
Earring,2602
Necklace,2603
Glove,2604
Brooch,2605
Clip,2607
Rosary,2608
Skull Ring,2609
Gold Ring,2610
Silver Ring,2611
Flower Ring,2612
Diamond Ring,2613
Eye of Dullahan,2614
Safety Ring,2615
Critical Ring,2616
Celebrant's Mitten,2617
Matyr's Leash,2618
Bow Thimble,2619
Rogue's Treasure,2620
Belt,2627
Novice Armlet,2628
Megingjard,2629
Brisingamen,2630
Celebration Ring,2631
Wedding Ring,2634
Gold Christmas Ring,2636
Silver Christmas Ring,2637
Sacred Incense,2638
Occult Incense,2639
Kafra Ring,2640
Fashion Hip Sack,2641
Serin's Gold Ring,2642
The Sign,2644
Moonlight Ring,2645
Bunch of Carnations,2646
Nile Rose,2647
Morpheus's Ring,2648
Morpheus's Bracelet,2649
Morrigane's Belt,2650
Morrigane's Pendant,2651
Goddess of Fortune's Cursed Brooch,2652
Sacrifice Ring,2653
Shinobi Sash,2654
Bloodied Shackle Ball,2655
Armor Charm,2656
Laboratory Permit,2657
Vesper Core 01,2659
Vesper Core 02,2660
Vesper Core 03,2661
Vesper Core 04,2662
Gauntlet of Hit,2663
Belcarf,2664
Exorcising Ring,2665
Lantern of Hope,2666
Renown Archer's Gloves,2667
Woman Glory,2668
RJC Necklace,2669
Ring of Longing,2670
3rd Anniversary Celebration Ring,2672
Warrior's Shining Ring,2673
Ring of Honor,2674
Lord Ring,2675
Hunter's Earring,2676
Spiritual Ring,2677
Ring Of Flame Lord,2678
Ring Of Resonance,2679
Lesser Elemental Ring,2680
Republic Anniversary Ring,2681
Ring of Water,2682
Ring of Fire,2683
Ring of Wind,2684
Ring of Earth,2685
Steel Flower,2687
Red Silk Seal,2700
Orleans's Glove,2701
Bison Horn,2702
Expert Ring,2703
Golden Accessories,2704
Arrest Handcuffs,2706
GUSLI,2707
Chinese Handicraft,2708
5th Anniversary Coin,2709
Bloody Iron Ball,2710
Ragnarok Limited Edition,2712
Certificate,2713
Marvelous Pendant,2714
Librarian Glove,2716
Pocket Watch,2717
Lunatic Brooch,2718
Iron Wrist,2719
Medal of Honor,2720
Icarus Wings,2726
Bowman Scarf,2727
Cursed Hand,2728
Diabolus Ring,2729
Seal of Continental Guard,2730
Rune Spellstone,2731
Death Loop,2732
Sheriff Badge,2733
Directive,2734
Navel Ring,2736
Foot Ring,2737
Shiny Coin,2738
Ordinary Coin,2739
Rusty Coin,2740
All In One Ring,2741
Angelic Ring,2743
Sprint Ring,2744
Pinguicula Corsage,2745
Cold Heart,2746
Black Cat,2747
Cursed Star,2748
Linen Glove,2749
Academy Of Badge,2751
Praccsinos,2752
Beholder Ring,2753
Hallow Ring,2754
Clamorous Ring,2755
Chemical Ring,2756
Insecticide Ring,2757
Fischer Ring,2758
Decussate Ring,2759
Bloody Ring,2760
Satanic Ring,2761
Dragon Ring,2762
Neo Skull Ring,2763
Small Fishing Rod,2764
Novice Figure,2765
Swordman Figure,2766
Acolyte Figure,2767
Mage Figure,2768
Archer Figure,2769
Thief Figure,2770
Merchant Figure,2771
Glorious Ring,2772
Glorious Mass-Production Ring,2773
Glorious Popularized Ring,2774
Lure,2775
Adventurer's Trusty Towel,2776
Shaman Ring,2777
Shaman Earrings,2778
Dark Knight Belt,2779
Dark Knight Glove,2780
Aumdura's Benefit,2781
Ring of the Ancient Wise King,2782
Eye Stone Ring,2783
Christmas Musicbox,2784
Orlean's Gloves,2785
Waterdrop Brooch,2787
Bradium Earring,2788
Bradium Ring,2789
Bradium Brooch,2790
Magic Stone Ring,2794
Green Apple Ring,2795
Rocks,2796
Will Of Exhausted Angel,2798
Kuirpenring,2799
Accelerator,2800
Hovering Booster,2801
Suicidal Device,2802
Shape Shifter,2803
Cooling Device,2804
Magnetic Field Generator,2805
Barrier Builder,2806
Repair Kit,2807
Camouflague Generator,2808
High Quality Cooler,2809
Special Cooler,2810
Swordsman Manual,2819
Thief Manual,2820
Acolyte Manual,2821
Archer Manual,2822
Merchant Manual,2823
Mage Manual,2824
Poring Card,4001
Fabre Card,4002
Pupa Card,4003
Drops Card,4004
Santa Poring Card,4005
Lunatic Card,4006
Peco Peco Egg Card,4007
Picky Card,4008
Chonchon Card,4009
Willow Card,4010
Picky Egg Card,4011
Thief Bug Egg Card,4012
Andre Egg Card,4013
Roda Frog Card,4014
Condor Card,4015
Thief Bug Card,4016
Savage Babe Card,4017
Andre Larva Card,4018
Hornet Card,4019
Familiar Card,4020
Rocker Card,4021
